district,zipcode,total_population,white_population,black_population,asian_population,hispanic_population,salary
1,60605,27238,14613,4505,3238,1598,103524
1,60601,11905,7024,736,2247,756,130699
1,60604,545,399,42,77,41,134908
1,60602,1294,792,129,157,94,184179
1,60603,493,336,14,103,29,183116
2,60616,52214,11608,12447,19250,4233,50468
2,60653,29908,717,27835,177,585,39280
2,60615,"40,603",9931,24895,2755,1700,51526
3,60621,35912,132,34957,37,395,21740
3,60649,46650,713,44188,115,821,31335
3,60637,49503,6665,38652,1919,1195,38063
4,60633,12927,4728,2954,55,5026,41586
4,60617,84155,5635,46641,180,30667,33029
5,60827,27946,886,25830,39,906,27354
5,60628,72202,841,68020,45,2404,29666
6,60619,63825,311,61811,44,711,32158
6,60620,72216,248,70531,50,672,29523
7,60636,40916,183,39131,37,1100,22681
8,60652,40959,6389,18525,288,15310,41931
8,60638,55026,30819,1975,445,21355,47138
8,60629,113916,10534,25543,540,76575,30814
9,60609,62010,9130,18332,2314,34489,31269
10,60804,84573,7757,2708,478,73200,29015
10,60623,92108,1653,30369,108,59438,24914
11,60612,33472,6513,20415,1616,4319,40921
11,60624,38105,509,35987,43,1160,23233
12,60608,82739,13628,14628,7313,46289,35266
13,60607,23897,13373,3850,4263,1781,114063
14,60622,52548,30367,3860,1910,15289,80186
14,60647,87291,30825,5237,2047,47697,54697
15,60651,64267,1769,39973,204,21756,26879
15,60644,48648,861,45559,163,1583,25431
16,60106,20309,9338,606,914,9170,44039
16,60018,30099,16296,351,2723,10224,62089
17,60646,27177,20706,202,2492,3121,83372
17,60630,54093,32721,599,5674,13776,48579
18,60611,28718,21421,1213,4068,1396,350909
18,60610,37726,26063,6775,2467,1766,165549
19,60657,65996,54304,1804,3868,4589,105276
19,60613,48281,36011,3631,2769,4832,85707
20,60640,65790,34381,11628,7923,9923,58348
20,60625,78651,33905,3297,10847,28304,50856
21,,,,,,,
22,60643,49952,10706,36981,170,1302,49378
23,,,,,,,
24,60645,45274,20425,6573,7313,9529,50791
24,60626,50139,20679,12621,3565,11545,40875
25,60707,42920,24360,3234,1130,13658,45869
25,60639,90407,6442,13712,916,68639,28765
31,60655,28550,24075,2155,166,1862,70120
